match_id,team,player,starter,position,role,formation,confidence,confirmed,source,updated_at
,Czechia,Matěj Kovář,1,GK,Goalkeeper,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,David Zima,1,DF,Centre-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Tomáš Holeš,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Robin Hranáč,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Vladimír Coufal,1,DF,Right-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Štěpán Chaloupek,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Ladislav Krejčí,1,DF,Centre-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Vladimír Darida,1,MF,Central Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Adam Hložek,1,FW,Centre-Forward,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Patrik Schick,1,FW,Centre-Forward,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Jan Kuchta,0,FW,Centre-Forward,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Lukáš Červ,0,MF,Central Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Mojmír Chytil,0,FW,Centre-Forward,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,David Jurásek,0,DF,Left-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Pavel Šulc,1,FW,Attacking Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Jindřich Staněk,0,GK,Goalkeeper,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Lukáš Provod,1,MF,Left Winger,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Michal Sadílek,1,MF,Central Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Tomáš Chorý,0,FW,Centre-Forward,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Jaroslav Zelený,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,David Douděra,0,DF,Right Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Tomáš Souček,1,MF,Defensive Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Lukáš Horníček,0,GK,Goalkeeper,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Alexandr Sojka,0,MF,Central Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Hugo Sochůrek,0,MF,Central Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Czechia,Denis Višinský,0,FW,Attacking Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Raúl Rangel,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Jorge Sánchez,0,DF,Right-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,César Montes,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Edson Álvarez,1,DF,Defensive Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Johan Vásquez,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Érik Lira,0,MF,Defensive Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Luis Romo,1,MF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
