manager_id,manager_name,team,observed_matches,evidence_confidence,curation_status,skill_version,latest_observation,source,next_action
czechia_koubek,Miroslav Koubek,Czechia,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
mexico_aguirre,Javier Aguirre,Mexico,12,0.4,evidence_backed,0.2-statsbomb-observed,2020-06-16,statsbomb_open_data:303532:Javier Aguirre Onaindía|statsbomb_open_data:303715:Javier Aguirre Onaindía|statsbomb_open_data:68313:Javier Aguirre Onaindía|statsbomb_open_data:68318:Javier Aguirre Onaindía|statsbomb_open_data:68365:Javier Aguirre Onaindía|statsbomb_open_data:69144:Javier Aguirre Onaindía|statsbomb_open_data:69176:Javier Aguirre Onaindía|statsbomb_open_data:69212:Javier Aguirre Onaindía|statsbomb_open_data:69300:Javier Aguirre Onaindía|statsbomb_open_data:69331:Javier Aguirre Onaindía|statsbomb_open_data:70283:Javier Aguirre Onaindía|statsbomb_open_data:70306:Javier Aguirre Onaindía,review observed tactical identity and add public tactical sources
south_africa_broos,Hugo Broos,South Africa,7,0.233,limited_observed,0.2-statsbomb-observed,2024-02-10,statsbomb_open_data:3920391:Hugo Henri Broos|statsbomb_open_data:3920407:Hugo Henri Broos|statsbomb_open_data:3920416:Hugo Henri Broos|statsbomb_open_data:3922243:Hugo Henri Broos|statsbomb_open_data:3922658:Hugo Henri Broos|statsbomb_open_data:3922837:Hugo Henri Broos|statsbomb_open_data:3923880:Hugo Henri Broos,review observed tactical identity and add public tactical sources
korea_republic_hong,Hong Myung-bo,Korea Republic,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
bosnia_barbarez,Sergej Barbarez,Bosnia and Herzegovina,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
canada_marsch,Jesse Marsch,Canada,6,0.2,limited_observed,0.2-statsbomb-observed,2024-07-14,statsbomb_open_data:3939969:Jesse Marsch|statsbomb_open_data:3939978:Jesse Marsch|statsbomb_open_data:3939985:Jesse Marsch|statsbomb_open_data:3942229:Jesse Marsch|statsbomb_open_data:3942785:Jesse Marsch|statsbomb_open_data:3943076:Jesse Marsch,review observed tactical identity and add public tactical sources
qatar_lopetegui,Julen Lopetegui,Qatar,4,0.133,limited_observed,0.2-statsbomb-observed,2021-02-27,statsbomb_open_data:303473:Julen Lopetegui Argote|statsbomb_open_data:303674:Julen Lopetegui Argote|statsbomb_open_data:3773625:Julen Lopetegui Argote|statsbomb_open_data:3773672:Julen Lopetegui Argote,review observed tactical identity and add public tactical sources
switzerland_yakin,Murat Yakin,Switzerland,9,0.3,limited_observed,0.2-statsbomb-observed,2024-07-06,statsbomb_open_data:3857256:Murat Yakin|statsbomb_open_data:3857269:Murat Yakin|statsbomb_open_data:3857290:Murat Yakin|statsbomb_open_data:3869254:Murat Yakin|statsbomb_open_data:3930159:Murat Yakin|statsbomb_open_data:3930169:Murat Yakin|statsbomb_open_data:3930176:Murat Yakin|statsbomb_open_data:3940878:Murat Yakin|statsbomb_open_data:3942227:Murat Yakin,review observed tactical identity and add public tactical sources
brazil_ancelotti,Carlo Ancelotti,Brazil,7,0.233,limited_observed,0.2-statsbomb-observed,2015-03-22,statsbomb_open_data:18241:Carlo Ancelotti|statsbomb_open_data:2302764:Carlo Ancelotti|statsbomb_open_data:265857:Carlo Ancelotti|statsbomb_open_data:267085:Carlo Ancelotti|statsbomb_open_data:267183:Carlo Ancelotti|statsbomb_open_data:3750200:Carlo Ancelotti|statsbomb_open_data:70293:Carlo Ancelotti,review observed tactical identity and add public tactical sources
haiti_migne,Sebastien Migne,Haiti,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
