match_id,team,opponent,manager_id,manager_name,stage,match_date,actual_formation,goals_for,goals_against,xg_for,xg_against,shots,field_tilt,box_entries,set_piece_xg,counterattack_xg,pressing_proxy,substitutions,data_quality,source,updated_at
1,Mexico,South Africa,mexico_aguirre,Javier Aguirre,Group,2026-06-11,,2,0,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
1,South Africa,Mexico,south_africa_broos,Hugo Broos,Group,2026-06-11,,0,2,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
2,Korea Republic,Czechia,korea_republic_hong,Hong Myung-bo,Group,2026-06-12,,2,1,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
2,Czechia,Korea Republic,czechia_koubek,Miroslav Koubek,Group,2026-06-12,,1,2,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
3,Canada,Bosnia and Herzegovina,canada_marsch,Jesse Marsch,Group,2026-06-12,,1,1,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
3,Bosnia and Herzegovina,Canada,bosnia_barbarez,Sergej Barbarez,Group,2026-06-12,,1,1,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
4,USA,Paraguay,usa_pochettino,Mauricio Pochettino,Group,2026-06-13,,4,1,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
4,Paraguay,USA,paraguay_alfaro,Gustavo Alfaro,Group,2026-06-13,,1,4,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
8,Qatar,Switzerland,qatar_lopetegui,Julen Lopetegui,Group,2026-06-13,,1,1,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
8,Switzerland,Qatar,switzerland_yakin,Murat Yakin,Group,2026-06-13,,1,1,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
7,Brazil,Morocco,brazil_ancelotti,Carlo Ancelotti,Group,2026-06-13,,1,1,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
7,Morocco,Brazil,morocco_ouahbi,Mohamed Ouahbi,Group,2026-06-13,,1,1,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
5,Haiti,Scotland,haiti_migne,Sebastien Migne,Group,2026-06-14,,0,1,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
5,Scotland,Haiti,scotland_clarke,Steve Clarke,Group,2026-06-14,,1,0,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
6,Australia,Turkiye,australia_popovic,Tony Popovic,Group,2026-06-14,,2,0,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
6,Turkiye,Australia,turkiye_montella,Vincenzo Montella,Group,2026-06-14,,0,2,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
10,Germany,Curacao,germany_nagelsmann,Julian Nagelsmann,Group,2026-06-14,,7,1,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
10,Curacao,Germany,curacao_advocaat,Dick Advocaat,Group,2026-06-14,,1,7,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
11,Netherlands,Japan,netherlands_koeman,Ronald Koeman,Group,2026-06-14,,2,2,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
11,Japan,Netherlands,japan_moriyasu,Hajime Moriyasu,Group,2026-06-14,,2,2,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
9,Cote d'Ivoire,Ecuador,cote_divoire_fae,Emerse Fae,Group,2026-06-14,,1,0,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
9,Ecuador,Cote d'Ivoire,ecuador_beccacece,Sebastian Beccacece,Group,2026-06-14,,0,1,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
12,Sweden,Tunisia,sweden_potter,Graham Potter,Group,2026-06-15,,5,1,,,,,,,,,0,score_only,observed_matches + actual_lineups + match_summary_signals,2026-08-08T14:16:59.255587+00:00
