evaluation_id,match_id,matchup_type,team_a,team_b,team_a_player,team_b_player,predicted_favored_team,observed_favored_team,edge_score,observed_edge,edge_confirmed,evidence_metric,team_a_evidence,team_b_evidence,status,explanation,data_quality,evaluated_at
eval_049347eb189285da8c0e,FRA-BRA-TEST,transition_defense_risk,France,Brazil,,,France,France,0.021,0.45,True,counterattack_xg,0.45,0.0,evaluated,"Prediction favored France; observed counterattack_xg favored France. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-12T04:35:32.034483Z
eval_0606a537dc5362d1c066,3,transition_defense_risk,Canada,Bosnia and Herzegovina,,,Canada,,0.271,,,missing_match_summary,,,not_evaluable,"Prediction favored Canada; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-14T22:51:27.603746Z
eval_09cf32488eaf6f713ffb,3,striker_vs_centerbacks,Canada,Bosnia and Herzegovina,Cyle Larin,"Dennis Hadžikadunić, Tarik Muharemović, Sead Kolašinac",Canada,,0.034,0.0,,named_player_event_impact,0.0,0.0,partial,"Prediction favored Canada; observed named_player_event_impact favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.603746Z
eval_0aca8ade5c7691247638,4,transition_defense_risk,USA,Paraguay,,,USA,,0.139,,,missing_match_summary,,,not_evaluable,"Prediction favored USA; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-14T22:51:27.843287Z
eval_14bb2ad48a04efc7db57,FRA-BRA-TEST,set_piece_edge,France,Brazil,,,Brazil,France,0.065,0.64,False,set_piece_xg,0.76,0.12,evaluated,"Prediction favored Brazil; observed set_piece_xg favored France. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-12T04:35:32.034483Z
eval_19f8f20319df4bb6ed5f,4,set_piece_edge,USA,Paraguay,,,USA,,0.167,,,missing_match_summary,,,not_evaluable,"Prediction favored USA; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-14T22:51:27.843287Z
eval_215599523ae3104c78ef,3,press_vs_build_up,Canada,Bosnia and Herzegovina,,,Canada,,0.757,,,missing_match_summary,,,not_evaluable,"Prediction favored Canada; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-14T22:51:27.603746Z
eval_2594ea3d1b7f2eb8ef76,FRA-BRA-TEST,striker_vs_centerbacks,France,Brazil,Marcus Thuram,"Bremer, Marquinhos",Brazil,Brazil,0.081,-0.69,True,named_player_event_impact,0.0,0.69,evaluated,"Prediction favored Brazil; observed named_player_event_impact favored Brazil. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",manual_prototype,2026-06-12T04:35:32.034483Z
eval_2893a0c1797a858b1ca5,1,striker_vs_centerbacks,Mexico,South Africa,"César Montes, Johan Vásquez, Luis Romo",Lyle Foster,Mexico,,0.09,0.0,,named_player_event_impact,0.0,0.0,partial,"Prediction favored Mexico; observed named_player_event_impact favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.154393Z
eval_4149eaa8747bcb9fe39c,1,set_piece_edge,Mexico,South Africa,,,Mexico,,0.153,,,missing_match_summary,,,not_evaluable,"Prediction favored Mexico; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-14T22:51:27.154393Z
eval_4b1ed64fb66ce8905ff5,3,set_piece_edge,Canada,Bosnia and Herzegovina,,,Canada,,0.184,,,missing_match_summary,,,not_evaluable,"Prediction favored Canada; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-14T22:51:27.603746Z
eval_535071c1fa498f742746,2,striker_vs_centerbacks,Korea Republic,Czechia,"Kim Min-jae, Kim Moon-hwan, Seol Young-woo",Adam Hložek,Czechia,,0.075,0.0,,named_player_event_impact,0.0,0.0,partial,"Prediction favored Czechia; observed named_player_event_impact favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.384283Z
eval_57c9bbe7d50cbac3767a,4,winger_vs_fullback,USA,Paraguay,Antonee Robinson,Miguel Almirón,Paraguay,,0.035,0.0,,named_player_event_impact,0.0,0.0,partial,"Prediction favored Paraguay; observed named_player_event_impact favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.843287Z
eval_599b31ae06ccddeb94bd,FRA-BRA-TEST,winger_vs_fullback,France,Brazil,Kylian Mbappé,Wesley,France,France,0.165,1.0,True,named_player_event_impact,3.87,0.0,evaluated,"Prediction favored France; observed named_player_event_impact favored France. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",manual_prototype,2026-06-12T04:35:32.034483Z
eval_5e3e6b8d8a1c2305d4f7,FRA-BRA-TEST,press_vs_build_up,France,Brazil,,,France,France,0.217,0.333,True,pressing_proxy,100.0,50.0,evaluated,"Prediction favored France; observed pressing_proxy favored France. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-12T04:35:32.034483Z
eval_64bdb427a617e84f375a,2,midfield_control,Korea Republic,Czechia,"Hwang In-beom, Lee Jae-sung, Hwang Hee-chan, Lee Kang-in, Jens Castrop","Vladimír Darida, Pavel Šulc, Michal Sadílek, Tomáš Souček",Czechia,,0.132,,,missing_match_summary,,,not_evaluable,"Prediction favored Czechia; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.384283Z
eval_750a577ded1ffbc3b66a,3,winger_vs_fullback,Canada,Bosnia and Herzegovina,Alistair Johnston,Kerim Alajbegović,Canada,,0.043,0.0,,named_player_event_impact,0.0,0.0,partial,"Prediction favored Canada; observed named_player_event_impact favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.603746Z
eval_7edf3f16f89106a3db0a,FRA-BRA-TEST,striker_vs_centerbacks,France,Brazil,"Dayot Upamecano, William Saliba",Igor Thiago,France,France,0.177,0.25,True,named_player_event_impact,0.25,0.0,evaluated,"Prediction favored France; observed named_player_event_impact favored France. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",manual_prototype,2026-06-12T04:35:32.034483Z
eval_8a76c1ddbad45fc35866,1,winger_vs_fullback,Mexico,South Africa,Roberto Alvarado,Aubrey Modiba,Mexico,,0.079,0.0,,named_player_event_impact,0.0,0.0,partial,"Prediction favored Mexico; observed named_player_event_impact favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.154393Z
