player_id,player,team,position,role_archetype,role_fit_score,shooting_score,creation_score,progression_score,ball_retention_score,pressing_score,defending_score,aerial_score,transition_score,set_piece_score,form_score,confidence,source,data_quality,updated_at
brazil_alex_sandro,Alex Sandro,Brazil,LB,overlapping_fullback,77.67,59.0,76.0,80.0,78.33,76.0,79.5,75.0,75.67,72.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_alisson,Alisson,Brazil,GK,sweeper_keeper,71.7,20.0,58.0,80.0,72.67,42.0,62.5,74.0,66.67,36.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_bremer,Bremer,Brazil,CB,stopper_centerback,87.68,55.0,58.0,75.0,72.67,80.0,90.0,93.0,71.67,42.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_bremer,Bremer,Brazil,CB,defensive_fullback,84.09,55.0,58.0,75.0,72.67,80.0,90.0,93.0,71.67,42.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_bruno_guimaraes,Bruno Guimarães,Brazil,CM,deep_lying_playmaker,88.81,74.0,86.0,91.0,88.67,88.0,88.5,76.0,84.33,78.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_bruno_guimaraes,Bruno Guimarães,Brazil,CM,box_to_box_midfielder,87.95,74.0,86.0,91.0,88.67,88.0,88.5,76.0,84.33,78.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_casemiro,Casemiro,Brazil,DM,ball_winning_midfielder,85.03,70.0,72.0,78.0,76.33,84.0,88.5,91.0,71.33,62.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_igor_thiago,Igor Thiago,Brazil,CF,poacher,80.15,82.0,65.0,70.0,69.33,74.0,60.0,88.0,73.33,48.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_igor_thiago,Igor Thiago,Brazil,CF,target_striker,79.93,82.0,65.0,70.0,69.33,74.0,60.0,88.0,73.33,48.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_lucas_paqueta,Lucas Paquetá,Brazil,AM,deep_lying_playmaker,87.47,78.0,91.0,88.0,87.67,88.0,80.0,70.0,85.0,80.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_lucas_paqueta,Lucas Paquetá,Brazil,AM,attacking_midfielder,86.44,78.0,91.0,88.0,87.67,88.0,80.0,70.0,85.0,80.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
