match_id,stage,round,group,team_a,team_b,source_a,source_b,date,kickoff_time_local,kickoff_local,kickoff_utc,venue,venue_source
1,Group,Group,A,Mexico,South Africa,Mexico,South Africa,2026-06-11,13:00,2026-06-11T13:00:00-06:00,2026-06-11T19:00:00+00:00,Mexico City,published-schedule
2,Group,Group,A,Korea Republic,Czechia,Korea Republic,Czechia,2026-06-11,20:00,2026-06-11T20:00:00-06:00,2026-06-12T02:00:00+00:00,Guadalajara,published-schedule
3,Group,Group,B,Canada,Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,2026-06-12,15:00,2026-06-12T15:00:00-04:00,2026-06-12T19:00:00+00:00,Toronto,published-schedule
4,Group,Group,D,USA,Paraguay,USA,Paraguay,2026-06-12,18:00,2026-06-12T18:00:00-07:00,2026-06-13T01:00:00+00:00,Los Angeles,published-schedule
5,Group,Group,C,Haiti,Scotland,Haiti,Scotland,2026-06-13,21:00,2026-06-13T21:00:00-04:00,2026-06-14T01:00:00+00:00,Boston,published-schedule
6,Group,Group,D,Australia,Turkiye,Australia,Turkiye,2026-06-13,21:00,2026-06-13T21:00:00-07:00,2026-06-14T04:00:00+00:00,Vancouver,published-schedule
7,Group,Group,C,Brazil,Morocco,Brazil,Morocco,2026-06-13,18:00,2026-06-13T18:00:00-04:00,2026-06-13T22:00:00+00:00,New York New Jersey,published-schedule
8,Group,Group,B,Qatar,Switzerland,Qatar,Switzerland,2026-06-13,12:00,2026-06-13T12:00:00-07:00,2026-06-13T19:00:00+00:00,San Francisco Bay Area,published-schedule
9,Group,Group,E,Cote d'Ivoire,Ecuador,Cote d'Ivoire,Ecuador,2026-06-14,19:00,2026-06-14T19:00:00-04:00,2026-06-14T23:00:00+00:00,Philadelphia,published-schedule
10,Group,Group,E,Germany,Curacao,Germany,Curacao,2026-06-14,12:00,2026-06-14T12:00:00-05:00,2026-06-14T17:00:00+00:00,Houston,published-schedule
11,Group,Group,F,Netherlands,Japan,Netherlands,Japan,2026-06-14,15:00,2026-06-14T15:00:00-05:00,2026-06-14T20:00:00+00:00,Dallas,published-schedule
12,Group,Group,F,Sweden,Tunisia,Sweden,Tunisia,2026-06-14,20:00,2026-06-14T20:00:00-06:00,2026-06-15T02:00:00+00:00,Monterrey,published-schedule
13,Group,Group,H,Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,2026-06-15,18:00,2026-06-15T18:00:00-04:00,2026-06-15T22:00:00+00:00,Miami,published-schedule
14,Group,Group,H,Spain,Cabo Verde,Spain,Cabo Verde,2026-06-15,12:00,2026-06-15T12:00:00-04:00,2026-06-15T16:00:00+00:00,Atlanta,published-schedule
15,Group,Group,G,IR Iran,New Zealand,IR Iran,New Zealand,2026-06-15,18:00,2026-06-15T18:00:00-07:00,2026-06-16T01:00:00+00:00,Los Angeles,published-schedule
16,Group,Group,G,Belgium,Egypt,Belgium,Egypt,2026-06-15,12:00,2026-06-15T12:00:00-07:00,2026-06-15T19:00:00+00:00,Seattle,published-schedule
17,Group,Group,I,France,Senegal,France,Senegal,2026-06-16,15:00,2026-06-16T15:00:00-04:00,2026-06-16T19:00:00+00:00,New York New Jersey,published-schedule
18,Group,Group,I,Iraq,Norway,Iraq,Norway,2026-06-16,18:00,2026-06-16T18:00:00-04:00,2026-06-16T22:00:00+00:00,Boston,published-schedule
19,Group,Group,J,Argentina,Algeria,Argentina,Algeria,2026-06-16,20:00,2026-06-16T20:00:00-05:00,2026-06-17T01:00:00+00:00,Kansas City,published-schedule
20,Group,Group,J,Austria,Jordan,Austria,Jordan,2026-06-16,21:00,2026-06-16T21:00:00-07:00,2026-06-17T04:00:00+00:00,San Francisco Bay Area,published-schedule
21,Group,Group,L,Ghana,Panama,Ghana,Panama,2026-06-17,19:00,2026-06-17T19:00:00-04:00,2026-06-17T23:00:00+00:00,Toronto,published-schedule
22,Group,Group,L,England,Croatia,England,Croatia,2026-06-17,15:00,2026-06-17T15:00:00-05:00,2026-06-17T20:00:00+00:00,Dallas,published-schedule
23,Group,Group,K,Portugal,Congo DR,Portugal,Congo DR,2026-06-17,12:00,2026-06-17T12:00:00-05:00,2026-06-17T17:00:00+00:00,Houston,published-schedule
24,Group,Group,K,Uzbekistan,Colombia,Uzbekistan,Colombia,2026-06-17,20:00,2026-06-17T20:00:00-06:00,2026-06-18T02:00:00+00:00,Mexico City,published-schedule
25,Group,Group,A,Czechia,South Africa,Czechia,South Africa,2026-06-18,12:00,2026-06-18T12:00:00-04:00,2026-06-18T16:00:00+00:00,Atlanta,published-schedule
26,Group,Group,B,Switzerland,Bosnia and Herzegovina,Switzerland,Bosnia and Herzegovina,2026-06-18,12:00,2026-06-18T12:00:00-07:00,2026-06-18T19:00:00+00:00,Los Angeles,published-schedule
