team,keeper,save_pct,post_shot_xg_prevented_per90,claim_rate,sweeper_rate,source,updated_at
Czechia,Matěj Kovář,0.6547,-0.0566,0.4365,0.5456,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Mexico,Guillermo Ochoa,0.803,0.1287,0.5411,0.6764,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
South Africa,Ronwen Williams,0.7506,0.0633,0.4946,0.6182,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Korea Republic,Kim Seung-gyu,0.55,-0.1875,0.3667,0.4583,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Bosnia and Herzegovina,Nikola Vasilj,0.6634,-0.0457,0.4423,0.5528,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Canada,Maxime Crépeau,0.6372,-0.0785,0.4248,0.531,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Qatar,Meshaal Barsham,0.6809,-0.0239,0.4539,0.5674,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Switzerland,Gregor Kobel,0.7768,0.096,0.5179,0.6473,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Brazil,Alisson,0.88,0.3033,0.6284,0.7855,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Haiti,Johny Placide,0.7594,0.0742,0.5004,0.6255,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Morocco,Yassine Bounou,0.88,0.2814,0.6167,0.7709,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Scotland,Craig Gordon,0.6983,-0.0021,0.4597,0.5747,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Australia,Mathew Ryan,0.88,0.2596,0.6051,0.7564,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Paraguay,Orlando Gill,0.5936,-0.133,0.3957,0.4947,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Turkiye,Uğurcan Çakır,0.8291,0.1614,0.5527,0.6909,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
USA,Matt Turner,0.7855,0.1069,0.5237,0.6546,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Curacao,Eloy Room,0.6896,-0.013,0.4655,0.5819,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Ecuador,Hernán Galíndez,0.5674,-0.1657,0.3783,0.4728,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Germany,Manuel Neuer,0.88,0.2922,0.6225,0.7782,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Cote d'Ivoire,Yahia Fofana,0.7245,0.0306,0.483,0.6038,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Japan,Zion Suzuki,0.7332,0.0415,0.4888,0.611,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Netherlands,Bart Verbruggen,0.8379,0.1724,0.5586,0.6983,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Sweden,Viktor Johansson,0.646,-0.0675,0.4307,0.5383,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Tunisia,Aymen Dahmen,0.6285,-0.0894,0.4074,0.5092,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Belgium,Thibaut Courtois,0.88,0.325,0.64,0.8,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Egypt,Mohamed El Shenawy,0.7943,0.1179,0.5295,0.6619,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
