team,posterior_strength_delta,live_xg_for,live_xg_against,injury_load,momentum,matches_played,source,updated_at
Algeria,-2.5,,,0.0,-1.0,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Argentina,4.583,,,0.0,1.833,6,live_state.json,2026-07-12T10:51:59.042922+00:00
Australia,0.0,,,0.0,0.0,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Austria,-1.875,,,0.0,-0.75,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Belgium,2.917,,,0.0,1.167,6,live_state.json,2026-07-12T10:51:59.042922+00:00
Bosnia and Herzegovina,-1.875,,,0.0,-0.75,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Brazil,3.0,,,0.0,1.2,5,live_state.json,2026-07-12T10:51:59.042922+00:00
Cabo Verde,-0.625,,,0.0,-0.25,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Canada,1.5,,,0.0,0.6,5,live_state.json,2026-07-12T10:51:59.042922+00:00
Colombia,2.0,,,0.0,0.8,5,live_state.json,2026-07-12T10:51:59.042922+00:00
Congo DR,0.0,,,0.0,0.0,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Cote d'Ivoire,0.625,,,0.0,0.25,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Croatia,-0.625,,,0.0,-0.25,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Curacao,-6.667,,,0.0,-2.667,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Czechia,-3.333,,,0.0,-1.333,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Ecuador,-1.25,,,0.0,-0.5,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Egypt,0.5,,,0.0,0.2,5,live_state.json,2026-07-12T10:51:59.042922+00:00
England,2.917,,,0.0,1.167,6,live_state.json,2026-07-12T10:51:59.042922+00:00
France,5.833,,,0.0,2.333,6,live_state.json,2026-07-12T10:51:59.042922+00:00
Germany,3.75,,,0.0,1.5,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Ghana,-0.625,,,0.0,-0.25,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Haiti,-5.0,,,0.0,-2.0,3,live_state.json,2026-07-12T10:51:59.042922+00:00
IR Iran,0.0,,,0.0,0.0,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Iraq,-9.167,,,0.0,-3.667,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Japan,1.875,,,0.0,0.75,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Jordan,-4.167,,,0.0,-1.667,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Korea Republic,-0.833,,,0.0,-0.333,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Mexico,3.5,,,0.0,1.4,5,live_state.json,2026-07-12T10:51:59.042922+00:00
Morocco,1.667,,,0.0,0.667,6,live_state.json,2026-07-12T10:51:59.042922+00:00
Netherlands,3.75,,,0.0,1.5,4,live_state.json,2026-07-12T10:51:59.042922+00:00
New Zealand,-5.0,,,0.0,-2.0,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Norway,0.833,,,0.0,0.333,6,live_state.json,2026-07-12T10:51:59.042922+00:00
Panama,-3.333,,,0.0,-1.333,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Paraguay,-1.5,,,0.0,-0.6,5,live_state.json,2026-07-12T10:51:59.042922+00:00
Portugal,2.5,,,0.0,1.0,5,live_state.json,2026-07-12T10:51:59.042922+00:00
Qatar,-6.667,,,0.0,-2.667,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Saudi Arabia,-3.333,,,0.0,-1.333,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Scotland,-2.5,,,0.0,-1.0,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Senegal,0.625,,,0.0,0.25,4,live_state.json,2026-07-12T10:51:59.042922+00:00
South Africa,-1.25,,,0.0,-0.5,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Spain,4.167,,,0.0,1.667,6,live_state.json,2026-07-12T10:51:59.042922+00:00
Sweden,-1.875,,,0.0,-0.75,4,live_state.json,2026-07-12T10:51:59.042922+00:00
Switzerland,1.667,,,0.0,0.667,6,live_state.json,2026-07-12T10:51:59.042922+00:00
Tunisia,-8.333,,,0.0,-3.333,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Turkiye,-1.667,,,0.0,-0.667,3,live_state.json,2026-07-12T10:51:59.042922+00:00
USA,1.5,,,0.0,0.6,5,live_state.json,2026-07-12T10:51:59.042922+00:00
Uruguay,-0.833,,,0.0,-0.333,3,live_state.json,2026-07-12T10:51:59.042922+00:00
Uzbekistan,-7.5,,,0.0,-3.0,3,live_state.json,2026-07-12T10:51:59.042922+00:00
