manager_id,manager_name,team,sample_size,weighted_points_per_match,opponent_adjusted_points,weighted_goal_difference,preferred_formation,formation_share,pressing_score,defensive_line_score,build_up_directness_score,possession_score,transition_score,set_piece_score,substitution_aggression_score,evidence_confidence,data_quality,source,last_observed
czechia_koubek,Miroslav Koubek,Czechia,0,,,,,,,,,,,,,0.0,no_observed_history,,
mexico_aguirre,Javier Aguirre,Mexico,12,0.223,-1.127,-2.183,4-2-3-1,0.417,26.28,37.91,41.3,30.39,2.25,31.81,100.0,0.4,observed,statsbomb_open_data:303532:Javier Aguirre Onaindía|statsbomb_open_data:303715:Javier Aguirre Onaindía|statsbomb_open_data:68313:Javier Aguirre Onaindía|statsbomb_open_data:68318:Javier Aguirre Onaindía|statsbomb_open_data:68365:Javier Aguirre Onaindía|statsbomb_open_data:69144:Javier Aguirre Onaindía|statsbomb_open_data:69176:Javier Aguirre Onaindía|statsbomb_open_data:69212:Javier Aguirre Onaindía|statsbomb_open_data:69300:Javier Aguirre Onaindía|statsbomb_open_data:69331:Javier Aguirre Onaindía|statsbomb_open_data:70283:Javier Aguirre Onaindía|statsbomb_open_data:70306:Javier Aguirre Onaindía,2020-06-16
south_africa_broos,Hugo Broos,South Africa,7,1.416,0.65,0.549,4-2-3-1,0.429,44.33,39.3,30.95,52.92,4.65,100.0,84.03,0.233,limited_observed_sample,statsbomb_open_data:3920391:Hugo Henri Broos|statsbomb_open_data:3920407:Hugo Henri Broos|statsbomb_open_data:3920416:Hugo Henri Broos|statsbomb_open_data:3922243:Hugo Henri Broos|statsbomb_open_data:3922658:Hugo Henri Broos|statsbomb_open_data:3922837:Hugo Henri Broos|statsbomb_open_data:3923880:Hugo Henri Broos,2024-02-10
korea_republic_hong,Hong Myung-bo,Korea Republic,0,,,,,,,,,,,,,0.0,no_observed_history,,
bosnia_barbarez,Sergej Barbarez,Bosnia and Herzegovina,0,,,,,,,,,,,,,0.0,no_observed_history,,
canada_marsch,Jesse Marsch,Canada,6,0.978,-0.085,-0.497,4-2-3-1,0.667,49.73,44.05,31.49,48.61,5.78,100.0,100.0,0.2,limited_observed_sample,statsbomb_open_data:3939969:Jesse Marsch|statsbomb_open_data:3939978:Jesse Marsch|statsbomb_open_data:3939985:Jesse Marsch|statsbomb_open_data:3942229:Jesse Marsch|statsbomb_open_data:3942785:Jesse Marsch|statsbomb_open_data:3943076:Jesse Marsch,2024-07-14
qatar_lopetegui,Julen Lopetegui,Qatar,4,0.499,-0.726,-1.457,4-3-3,0.75,26.01,42.94,27.72,41.61,0.0,50.71,100.0,0.133,limited_observed_sample,statsbomb_open_data:303473:Julen Lopetegui Argote|statsbomb_open_data:303674:Julen Lopetegui Argote|statsbomb_open_data:3773625:Julen Lopetegui Argote|statsbomb_open_data:3773672:Julen Lopetegui Argote,2021-02-27
switzerland_yakin,Murat Yakin,Switzerland,9,1.655,0.917,0.059,3-4-2-1,0.444,31.73,42.65,26.93,47.6,4.06,100.0,93.67,0.3,limited_observed_sample,statsbomb_open_data:3857256:Murat Yakin|statsbomb_open_data:3857269:Murat Yakin|statsbomb_open_data:3857290:Murat Yakin|statsbomb_open_data:3869254:Murat Yakin|statsbomb_open_data:3930159:Murat Yakin|statsbomb_open_data:3930169:Murat Yakin|statsbomb_open_data:3930176:Murat Yakin|statsbomb_open_data:3940878:Murat Yakin|statsbomb_open_data:3942227:Murat Yakin,2024-07-06
brazil_ancelotti,Carlo Ancelotti,Brazil,7,1.427,0.62,0.453,4-3-3,0.571,43.92,39.67,31.62,49.03,4.76,100.0,63.2,0.233,limited_observed_sample,statsbomb_open_data:18241:Carlo Ancelotti|statsbomb_open_data:2302764:Carlo Ancelotti|statsbomb_open_data:265857:Carlo Ancelotti|statsbomb_open_data:267085:Carlo Ancelotti|statsbomb_open_data:267183:Carlo Ancelotti|statsbomb_open_data:3750200:Carlo Ancelotti|statsbomb_open_data:70293:Carlo Ancelotti,2015-03-22
haiti_migne,Sebastien Migne,Haiti,0,,,,,,,,,,,,,0.0,no_observed_history,,
morocco_ouahbi,Mohamed Ouahbi,Morocco,0,,,,,,,,,,,,,0.0,no_observed_history,,
scotland_clarke,Steve Clarke,Scotland,6,0.333,-1.022,-1.483,3-5-2,0.333,40.17,43.96,30.28,45.33,6.28,50.65,100.0,0.2,limited_observed_sample,statsbomb_open_data:3788748:Steve Clarke|statsbomb_open_data:3788759:Steve Clarke|statsbomb_open_data:3788771:Steve Clarke|statsbomb_open_data:3930158:Steve Clarke|statsbomb_open_data:3930169:Steve Clarke|statsbomb_open_data:3930177:Steve Clarke,2024-06-23
australia_popovic,Tony Popovic,Australia,0,,,,,,,,,,,,,0.0,no_observed_history,,
paraguay_alfaro,Gustavo Alfaro,Paraguay,6,1.328,0.53,-0.229,3-4-2-1,0.333,41.18,41.66,30.45,42.63,1.21,45.61,96.13,0.2,limited_observed_sample,statsbomb_open_data:3857267:Gustavo Julio Alfaro|statsbomb_open_data:3857274:Gustavo Julio Alfaro|statsbomb_open_data:3857286:Gustavo Julio Alfaro|statsbomb_open_data:3939976:Gustavo Julio Alfaro|statsbomb_open_data:3939984:Gustavo Julio Alfaro|statsbomb_open_data:3939992:Gustavo Julio Alfaro,2024-07-03
turkiye_montella,Vincenzo Montella,Turkiye,12,1.237,0.345,-0.762,4-2-3-1,0.333,37.65,39.96,28.51,46.96,3.78,60.4,98.83,0.4,observed,statsbomb_open_data:3879824:Vincenzo Montella|statsbomb_open_data:3879831:Vincenzo Montella|statsbomb_open_data:3879838:Vincenzo Montella|statsbomb_open_data:3879852:Vincenzo Montella|statsbomb_open_data:3879865:Vincenzo Montella|statsbomb_open_data:3879870:Vincenzo Montella|statsbomb_open_data:3930174:Vincenzo Montella|statsbomb_open_data:3930184:Vincenzo Montella|statsbomb_open_data:3938639:Vincenzo Montella|statsbomb_open_data:3941022:Vincenzo Montella|statsbomb_open_data:3942382:Vincenzo Montella|statsbomb_open_data:9860:Vincenzo Montella,2024-07-06
usa_pochettino,Mauricio Pochettino,USA,12,2.058,1.534,1.93,4-3-3,0.667,45.91,46.51,22.81,62.4,7.44,100.0,69.27,0.4,observed,statsbomb_open_data:3802643:Mauricio Roberto Pochettino Trossero|statsbomb_open_data:3802665:Mauricio Roberto Pochettino Trossero|statsbomb_open_data:3802676:Mauricio Roberto Pochettino Trossero|statsbomb_open_data:3802709:Mauricio Roberto Pochettino Trossero|statsbomb_open_data:3802805:Mauricio Roberto Pochettino Trossero|statsbomb_open_data:3802818:Mauricio Roberto Pochettino Trossero|statsbomb_open_data:3802839:Mauricio Roberto Pochettino Trossero|statsbomb_open_data:3802904:Mauricio Roberto Pochettino Trossero|statsbomb_open_data:3802930:Mauricio Roberto Pochettino Trossero|statsbomb_open_data:3802948:Mauricio Roberto Pochettino Trossero|statsbomb_open_data:3802983:Mauricio Roberto Pochettino Trossero|statsbomb_open_data:3803000:Mauricio Roberto Pochettino Trossero,2022-05-21
curacao_advocaat,Dick Advocaat,Curacao,8,0.386,-0.89,-1.244,4-1-4-1,0.375,41.73,37.0,35.29,41.73,5.25,45.87,90.82,0.267,limited_observed_sample,statsbomb_open_data:3753993:Dick Advocaat|statsbomb_open_data:3754008:Dick Advocaat|statsbomb_open_data:3754076:Dick Advocaat|statsbomb_open_data:3754148:Dick Advocaat|statsbomb_open_data:3754169:Dick Advocaat|statsbomb_open_data:3754180:Dick Advocaat|statsbomb_open_data:3754204:Dick Advocaat|statsbomb_open_data:3754237:Dick Advocaat,2015-10-03
ecuador_beccacece,Sebastian Beccacece,Ecuador,0,,,,,,,,,,,,,0.0,no_observed_history,,
