match_id,date,manager_id,team,opponent,competition,goals_for,goals_against,opponent_strength,formation,ppda,defensive_line_height,build_up_directness,possession_share,transition_attacks,set_piece_xg,first_sub_minute,substitution_count,leading_minutes,trailing_minutes,source
7533,2018-06-17,algeria_petkovic,Switzerland,Brazil,FIFA World Cup,1,1,86.5,4-2-3-1,12.631,40.758,27.207,0.4132,0,0.2718,69.0,3,0.0,30.4,statsbomb_open_data:7533:Vladimir Petković
7550,2018-06-22,algeria_petkovic,Switzerland,Serbia,FIFA World Cup,2,1,70.0,4-2-3-1,11.475,41.529,26.056,0.6207,2,0.5555,45.0,3,0.38,47.12,statsbomb_open_data:7550:Vladimir Petković
7568,2018-06-27,algeria_petkovic,Switzerland,Costa Rica,FIFA World Cup,2,2,70.0,4-2-3-1,10.131,42.468,26.191,0.6229,0,0.5067,59.0,3,28.02,0.0,statsbomb_open_data:7568:Vladimir Petković
7586,2018-07-03,algeria_petkovic,Switzerland,Sweden,FIFA World Cup,0,1,86.5,4-2-3-1,10.696,43.79,25.788,0.6869,0,0.3931,72.0,2,0.0,24.13,statsbomb_open_data:7586:Vladimir Petković
3788744,2021-06-12,algeria_petkovic,Switzerland,Wales,UEFA Euro,1,1,70.0,3-4-1-2,14.131,42.69,24.894,0.6402,1,1.2268,65.0,2,24.47,0.0,statsbomb_open_data:3788744:Vladimir Petković
3788754,2021-06-16,algeria_petkovic,Switzerland,Italy,UEFA Euro,0,3,70.0,3-4-1-2,13.776,46.654,26.845,0.5026,0,0.0797,45.0,5,0.0,64.63,statsbomb_open_data:3788754:Vladimir Petković
3788765,2021-06-20,algeria_petkovic,Switzerland,Turkey,UEFA Euro,3,1,70.0,3-4-1-2,14.0,43.977,29.815,0.5101,0,0.8978,74.0,5,84.35,0.0,statsbomb_open_data:3788765:Vladimir Petković
3794691,2021-06-28,algeria_petkovic,Switzerland,France,UEFA Euro,3,3,86.5,3-4-1-2,13.64,41.465,30.621,0.4447,0,5.5752,72.0,6,41.67,31.62,statsbomb_open_data:3794691:Vladimir Petković
3795108,2021-07-02,algeria_petkovic,Switzerland,Spain,UEFA Euro,1,1,86.5,4-2-3-1,22.06,34.702,40.345,0.2786,0,3.475,22.0,6,22.3,0.0,statsbomb_open_data:3795108:Vladimir Petković
3857289,2022-11-26,argentina_scaloni,Argentina,Mexico,FIFA World Cup,2,0,86.5,4-4-2,14.38,43.259,22.339,0.5959,0,0.3252,56.0,5,26.47,0.0,statsbomb_open_data:3857289:Lionel Sebastián Scaloni
3857264,2022-11-30,argentina_scaloni,Argentina,Poland,FIFA World Cup,2,0,70.0,4-3-3,13.33,49.105,20.914,0.7349,1,1.7831,58.0,5,44.12,0.0,statsbomb_open_data:3857264:Lionel Sebastián Scaloni
3869151,2022-12-03,argentina_scaloni,Argentina,Australia,FIFA World Cup,2,1,86.5,4-3-3,13.594,47.979,21.233,0.6369,1,0.5342,49.0,5,55.42,0.0,statsbomb_open_data:3869151:Lionel Sebastián Scaloni
3869321,2022-12-09,argentina_scaloni,Argentina,Netherlands,FIFA World Cup,2,2,86.5,3-5-2,15.817,42.01,23.971,0.497,0,5.6669,65.0,6,55.93,0.0,statsbomb_open_data:3869321:Lionel Sebastián Scaloni
3869519,2022-12-13,argentina_scaloni,Argentina,Croatia,FIFA World Cup,3,0,86.5,4-4-2,15.802,41.342,28.164,0.3986,1,1.3548,61.0,5,56.55,0.0,statsbomb_open_data:3869519:Lionel Sebastián Scaloni
3869685,2022-12-18,argentina_scaloni,Argentina,France,FIFA World Cup,3,3,86.5,4-3-3,13.504,41.86,27.436,0.5553,2,4.133,63.0,6,58.58,0.0,statsbomb_open_data:3869685:Lionel Sebastián Scaloni
3939969,2024-06-21,argentina_scaloni,Argentina,Canada,Copa America,2,0,86.5,4-4-2,12.331,47.294,26.924,0.6408,1,1.2225,66.0,5,41.93,0.0,statsbomb_open_data:3939969:Lionel Sebastián Scaloni
3939977,2024-06-26,argentina_scaloni,Argentina,Chile,Copa America,1,0,70.0,4-4-2,13.068,43.7,23.639,0.5932,2,2.1466,63.0,5,2.8,0.0,statsbomb_open_data:3939977:Lionel Sebastián Scaloni
3939986,2024-06-30,argentina_scaloni,Argentina,Peru,Copa America,2,0,70.0,4-3-3,11.215,41.565,24.057,0.7083,1,1.2658,64.0,5,43.78,0.0,statsbomb_open_data:3939986:Lionel Sebastián Scaloni
3942228,2024-07-05,argentina_scaloni,Argentina,Ecuador,Copa America,1,1,86.5,4-4-2,16.67,47.202,25.596,0.5156,0,4.6106,64.0,4,55.33,0.0,statsbomb_open_data:3942228:Lionel Sebastián Scaloni
3942785,2024-07-10,argentina_scaloni,Argentina,Canada,Copa America,2,0,86.5,4-4-2,13.883,42.841,27.231,0.4841,0,0.9948,63.0,5,68.0,0.0,statsbomb_open_data:3942785:Lionel Sebastián Scaloni
3943077,2024-07-15,argentina_scaloni,Argentina,Colombia,Copa America,1,0,86.5,4-4-2,18.395,39.83,30.92,0.4498,0,0.6666,65.0,6,0.0,0.0,statsbomb_open_data:3943077:Lionel Sebastián Scaloni
3930165,2024-06-17,austria_rangnick,Austria,France,UEFA Euro,0,1,86.5,4-2-3-1,11.864,46.998,25.664,0.4712,0,0.277,58.0,5,0.0,0.0,statsbomb_open_data:3930165:Ralf Rangnick
3938641,2024-06-21,austria_rangnick,Austria,Poland,UEFA Euro,3,1,70.0,4-2-3-1,11.108,47.468,25.35,0.5053,1,1.1813,45.0,5,44.88,0.0,statsbomb_open_data:3938641:Ralf Rangnick
3930180,2024-06-25,austria_rangnick,Austria,Netherlands,UEFA Euro,3,2,86.5,4-2-3-1,13.112,45.728,30.1,0.4613,1,0.6876,61.0,5,0.0,17.37,statsbomb_open_data:3930180:Ralf Rangnick
