manager_id,manager_name,team,active_from,active_to,status,preferred_formations,default_style,pressing_level,build_up_style,transition_style,set_piece_emphasis,substitution_aggression,big_game_risk_tolerance,source,last_verified,notes
czechia_koubek,Miroslav Koubek,Czechia,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
mexico_aguirre,Javier Aguirre,Mexico,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
south_africa_broos,Hugo Broos,South Africa,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
korea_republic_hong,Hong Myung-bo,Korea Republic,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
bosnia_barbarez,Sergej Barbarez,Bosnia and Herzegovina,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
canada_marsch,Jesse Marsch,Canada,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
qatar_lopetegui,Julen Lopetegui,Qatar,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
switzerland_yakin,Murat Yakin,Switzerland,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
brazil_ancelotti,Carlo Ancelotti,Brazil,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
haiti_migne,Sebastien Migne,Haiti,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
morocco_ouahbi,Mohamed Ouahbi,Morocco,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
scotland_clarke,Steve Clarke,Scotland,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
