event_id,match_id,match_date,competition,team,opponent,player,related_player,event_type,period,minute,second,possession_id,possession_team,play_pattern,outcome,x,y,end_x,end_y,xg,is_goal,is_set_piece,is_counterattack,under_pressure,body_part,card_type,substitution_replacement,goalkeeper,source,source_event_type,source_confidence,updated_at
fra_01,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Aurelien Tchouameni,Adrien Rabiot,pass,1,3,10.0,1,France,Open Play,Complete,30.0,40.0,50.0,42.0,,False,False,False,False,,,,,manual_csv,Pass,0.82,2026-06-11T22:00:00Z
fra_02,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,William Saliba,Kylian Mbappe,progressive_pass,1,7,20.0,2,France,Open Play,Complete,75.0,38.0,105.0,35.0,,False,False,False,False,,,,,manual_csv,Progressive Pass,0.82,2026-06-11T22:00:00Z
fra_03,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Ousmane Dembele,Kylian Mbappe,key_pass,1,12,5.0,3,France,Open Play,Complete,90.0,55.0,110.0,42.0,,False,False,False,False,,,,,manual_csv,Key Pass,0.82,2026-06-11T22:00:00Z
fra_04,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Kylian Mbappe,,shot,1,12,8.0,3,France,Open Play,Saved,110.0,42.0,,,0.2,False,False,False,True,Right Foot,,,Alisson,manual_csv,Shot,0.82,2026-06-11T22:00:00Z
fra_05,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Kylian Mbappe,,goal,1,24,30.0,4,France,Open Play,Goal,108.0,38.0,,,0.45,True,False,True,False,Right Foot,,,Alisson,manual_csv,Goal,0.82,2026-06-11T22:00:00Z
fra_06,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Jules Kounde,Marcus Thuram,cross,1,31,20.0,5,France,Open Play,Complete,92.0,70.0,108.0,43.0,,False,False,False,False,,,,,manual_csv,Cross,0.82,2026-06-11T22:00:00Z
fra_07,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Adrien Rabiot,,carry,1,35,10.0,6,France,Open Play,Complete,70.0,42.0,85.0,44.0,,False,False,False,True,,,,,manual_csv,Carry,0.82,2026-06-11T22:00:00Z
fra_08,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Kylian Mbappe,,progressive_carry,1,39,15.0,7,France,Counterattack,Complete,75.0,25.0,104.0,30.0,,False,False,True,True,,,,,manual_csv,Progressive Carry,0.82,2026-06-11T22:00:00Z
fra_09,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Ngolo Kante,,tackle,1,41,2.0,8,Brazil,Open Play,Won,85.0,42.0,,,,False,False,False,True,,,,,manual_csv,Tackle,0.82,2026-06-11T22:00:00Z
fra_10,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Aurelien Tchouameni,,interception,1,43,18.0,8,Brazil,Open Play,Won,82.0,35.0,,,,False,False,False,False,,,,,manual_csv,Interception,0.82,2026-06-11T22:00:00Z
fra_11,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,William Saliba,,duel,2,49,10.0,9,Brazil,Open Play,Won,60.0,40.0,,,,False,False,False,True,,,,,manual_csv,Duel,0.82,2026-06-11T22:00:00Z
