match_id,team,player,player_id,status,category,start_date,end_date,availability,minutes_limit,impact_score,source,updated_at
,Czechia,Matěj Kovář,,available,squad-status,,,1.0,90,91.54,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,David Zima,,available,squad-status,,,1.0,90,92.41,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Tomáš Holeš,,available,squad-status,,,1.0,90,56.72,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Robin Hranáč,,available,squad-status,,,1.0,90,56.75,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Vladimír Coufal,,available,squad-status,,,1.0,90,98.07,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Štěpán Chaloupek,,available,squad-status,,,1.0,90,55.34,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Ladislav Krejčí,,available,squad-status,,,1.0,90,96.98,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Vladimír Darida,,available,squad-status,,,1.0,90,98.16,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Adam Hložek,,available,squad-status,,,1.0,90,98.39,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Patrik Schick,,available,squad-status,,,1.0,90,107.21,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Jan Kuchta,,available,squad-status,,,1.0,90,57.32,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Lukáš Červ,,available,squad-status,,,1.0,90,56.45,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Mojmír Chytil,,available,squad-status,,,1.0,90,57.21,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,David Jurásek,,available,squad-status,,,1.0,90,56.12,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Pavel Šulc,,available,squad-status,,,1.0,90,95.39,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Jindřich Staněk,,available,squad-status,,,1.0,90,53.98,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Lukáš Provod,,available,squad-status,,,1.0,90,96.16,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Michal Sadílek,,available,squad-status,,,1.0,90,95.0,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Tomáš Chorý,,available,squad-status,,,1.0,90,56.4,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Jaroslav Zelený,,available,squad-status,,,1.0,90,53.04,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,David Douděra,,available,squad-status,,,1.0,90,55.53,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Tomáš Souček,,available,squad-status,,,1.0,90,111.83,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Lukáš Horníček,,available,squad-status,,,1.0,90,55.93,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Alexandr Sojka,,available,squad-status,,,1.0,90,52.42,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Hugo Sochůrek,,available,squad-status,,,1.0,90,53.14,squad-projection,2026-06-05T19:40:23.502261+00:00
,Czechia,Denis Višinský,,available,squad-status,,,1.0,90,52.87,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Raúl Rangel,,available,squad-status,,,1.0,90,55.86,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Jorge Sánchez,,available,squad-status,,,1.0,90,60.72,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,César Montes,,available,squad-status,,,1.0,90,102.68,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Edson Álvarez,,available,squad-status,,,1.0,90,110.66,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Johan Vásquez,,available,squad-status,,,1.0,90,98.8,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Érik Lira,,available,squad-status,,,1.0,90,58.43,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Luis Romo,,available,squad-status,,,1.0,90,99.29,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Álvaro Fidalgo,,available,squad-status,,,1.0,90,55.2,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Raúl Jiménez,,available,squad-status,,,1.0,90,113.26,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Alexis Vega,,available,squad-status,,,1.0,90,62.57,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Santiago Giménez,,available,squad-status,,,1.0,90,101.35,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Carlos Acevedo,,available,squad-status,,,1.0,90,53.59,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Guillermo Ochoa,,available,squad-status,,,1.0,90,97.84,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Armando González,,available,squad-status,,,1.0,90,56.61,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Israel Reyes,,available,squad-status,,,1.0,90,58.94,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Julián Quiñones,,available,squad-status,,,1.0,90,58.32,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Orbelín Pineda,,available,squad-status,,,1.0,90,109.83,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Obed Vargas,,available,squad-status,,,1.0,90,55.24,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Gilberto Mora,,available,squad-status,,,1.0,90,55.76,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Mateo Chávez,,available,squad-status,,,1.0,90,54.47,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,César Huerta,,available,squad-status,,,1.0,90,57.68,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Guillermo Martínez,,available,squad-status,,,1.0,90,53.55,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Jesús Gallardo,,available,squad-status,,,1.0,90,105.07,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Luis Chávez,,available,squad-status,,,1.0,90,97.18,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Roberto Alvarado,,available,squad-status,,,1.0,90,102.93,squad-projection,2026-06-05T19:40:23.502261+00:00
,Mexico,Brian Gutiérrez,,available,squad-status,,,1.0,90,55.55,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Ronwen Williams,,available,squad-status,,,1.0,90,95.12,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Thabang Matuludi,,available,squad-status,,,1.0,90,50.96,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Khulumani Ndamane,,available,squad-status,,,1.0,90,51.17,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Teboho Mokoena,,available,squad-status,,,1.0,90,97.6,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Thalente Mbatha,,available,squad-status,,,1.0,90,86.65,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Aubrey Modiba,,available,squad-status,,,1.0,90,93.64,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Oswin Appollis,,available,squad-status,,,1.0,90,90.96,squad-projection,2026-06-05T19:40:23.502261+00:00
