team,player,position,scoring_weight,starter,penalty_taker
Czechia,Matěj Kovář,GK,28.8,1,0
Czechia,David Zima,DF,38.43,1,0
Czechia,Tomáš Holeš,DF,37.52,0,0
Czechia,Robin Hranáč,DF,37.64,0,0
Czechia,Vladimír Coufal,DF,41.58,1,0
Czechia,Štěpán Chaloupek,DF,36.3,0,0
Czechia,Ladislav Krejčí,DF,41.41,1,0
Czechia,Vladimír Darida,MF,67.0,1,0
Czechia,Adam Hložek,FW,96.64,1,0
Czechia,Patrik Schick,FW,101.39,1,1
Czechia,Jan Kuchta,FW,92.93,0,0
Czechia,Lukáš Červ,MF,62.42,0,0
Czechia,Mojmír Chytil,FW,92.83,0,0
Czechia,David Jurásek,DF,37.02,0,0
Czechia,Pavel Šulc,FW,95.03,1,0
Czechia,Jindřich Staněk,GK,25.96,0,0
Czechia,Lukáš Provod,MF,65.7,1,0
Czechia,Michal Sadílek,MF,64.88,1,0
Czechia,Tomáš Chorý,FW,92.08,0,0
Czechia,Jaroslav Zelený,DF,34.02,0,0
Czechia,David Douděra,DF,36.55,0,0
Czechia,Tomáš Souček,MF,74.53,1,0
Czechia,Lukáš Horníček,GK,27.87,0,0
Czechia,Alexandr Sojka,MF,58.57,0,0
Czechia,Hugo Sochůrek,MF,59.25,0,0
Czechia,Denis Višinský,FW,89.0,0,0
Mexico,Raúl Rangel,GK,27.72,0,0
Mexico,Jorge Sánchez,DF,41.23,0,0
Mexico,César Montes,DF,44.41,1,0
Mexico,Edson Álvarez,DF,47.93,1,0
Mexico,Johan Vásquez,DF,42.11,1,0
Mexico,Érik Lira,MF,64.07,0,0
Mexico,Luis Romo,MF,67.45,1,0
Mexico,Álvaro Fidalgo,MF,61.18,0,0
Mexico,Raúl Jiménez,FW,103.28,1,1
Mexico,Alexis Vega,FW,97.66,0,0
Mexico,Santiago Giménez,FW,98.33,1,0
Mexico,Carlos Acevedo,GK,25.63,0,0
Mexico,Guillermo Ochoa,GK,30.8,1,0
Mexico,Armando González,FW,92.45,0,0
Mexico,Israel Reyes,DF,39.65,0,0
Mexico,Julián Quiñones,FW,93.95,0,0
Mexico,Orbelín Pineda,MF,72.83,1,0
Mexico,Obed Vargas,MF,61.19,0,0
Mexico,Gilberto Mora,MF,61.67,0,0
Mexico,Mateo Chávez,DF,35.45,0,0
Mexico,César Huerta,FW,93.3,0,0
Mexico,Guillermo Martínez,FW,89.51,0,0
