team,player_shooting_score,player_chance_creation_score,player_passing_score,player_progression_score,player_pressing_score,player_defensive_activity_score,player_goalkeeping_score,player_keeper_sweeping_score,player_keeper_diving_score,player_set_piece_delivery_score,player_early_goal_score,player_late_goal_score,player_discipline_score,player_minutes_score
Algeria,80.3,68.96,73.32,76.81,75.06,75.94,55.87,55.87,95.13,67.21,78.55,77.68,82.91,76.81
Argentina,94.26,89.02,88.15,94.26,93.38,85.53,87.28,88.15,63.72,89.02,89.89,94.26,95.13,95.13
Australia,65.47,76.81,61.98,64.6,60.23,68.09,90.77,90.77,59.36,71.57,62.85,66.34,68.96,66.34
Austria,77.68,69.83,93.38,71.57,91.64,91.64,61.11,61.98,89.02,79.43,94.26,82.91,77.68,90.77
Belgium,91.64,89.89,89.02,95.13,82.04,82.91,96.0,96.0,55.0,92.51,84.66,91.64,90.77,94.26
Bosnia and Herzegovina,59.36,56.74,60.23,59.36,59.36,61.98,66.34,66.34,83.79,57.62,58.49,65.47,65.47,61.11
Brazil,92.51,93.38,72.45,90.77,77.68,73.32,94.26,94.26,56.74,86.4,92.51,81.17,91.64,87.28
Cabo Verde,57.62,75.06,81.17,58.49,58.49,65.47,71.57,70.7,80.3,81.17,61.98,56.74,55.87,57.62
Canada,85.53,80.3,80.3,87.28,81.17,83.79,63.72,63.72,87.28,75.06,96.0,76.81,84.66,88.15
Colombia,70.7,82.04,94.26,74.19,83.79,95.13,78.55,78.55,72.45,82.04,76.81,84.66,64.6,80.3
Congo DR,68.96,65.47,66.34,65.47,68.09,66.34,56.74,57.62,94.26,68.96,64.6,69.83,75.06,64.6
Cote d'Ivoire,82.91,85.53,67.21,82.04,73.32,76.81,72.45,72.45,78.55,80.3,60.23,75.06,82.04,71.57
Croatia,90.77,96.0,91.64,77.68,82.91,80.3,89.89,89.89,61.11,96.0,82.91,89.89,80.3,89.02
Curacao,61.11,74.19,57.62,62.85,57.62,56.74,69.83,69.83,79.43,72.45,55.87,58.49,61.11,55.87
Czechia,73.32,66.34,70.7,67.21,74.19,71.57,65.47,65.47,82.91,69.83,68.09,72.45,78.55,69.83
Ecuador,69.83,64.6,71.57,72.45,71.57,77.68,57.62,56.74,93.38,65.47,71.57,75.94,79.43,74.19
Egypt,81.17,72.45,62.85,81.17,68.96,67.21,79.43,79.43,71.57,64.6,93.38,61.98,76.81,70.7
England,95.13,94.26,85.53,93.38,89.89,82.04,95.13,95.13,55.87,90.77,80.3,92.51,93.38,92.51
France,75.94,61.11,82.04,84.66,87.28,90.77,84.66,84.66,67.21,60.23,73.32,89.02,86.4,84.66
Germany,71.57,84.66,96.0,69.83,95.13,96.0,93.38,93.38,57.62,88.15,87.28,93.38,67.21,93.38
Ghana,79.43,73.32,63.72,80.3,66.34,63.72,61.98,62.85,89.89,75.94,63.72,68.96,75.94,63.72
Haiti,58.49,55.87,55.87,60.23,61.11,58.49,73.32,73.32,76.81,55.87,57.62,61.11,66.34,58.49
IR Iran,84.66,88.15,68.96,86.4,65.47,62.85,86.4,86.4,64.6,89.89,95.13,63.72,71.57,77.68
Iraq,63.72,61.98,58.49,63.72,62.85,55.87,82.04,82.04,69.83,63.72,61.11,59.36,63.72,59.36
Japan,74.19,87.28,95.13,79.43,86.4,92.51,74.19,74.19,77.68,94.26,70.7,79.43,59.36,75.94
Jordan,56.74,59.36,65.47,55.87,61.98,59.36,75.94,76.81,75.06,59.36,83.79,55.87,56.74,62.85
Korea Republic,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,96.0,55.0,55.0,55.0,55.0,55.0
Mexico,76.81,63.72,79.43,78.55,80.3,88.15,80.3,80.3,68.09,61.98,77.68,88.15,89.02,85.53
Morocco,88.15,92.51,84.66,89.02,85.53,84.66,92.51,92.51,58.49,93.38,89.02,83.79,83.79,86.4
Netherlands,87.28,86.4,86.4,88.15,89.02,94.26,83.79,83.79,66.34,76.81,86.4,95.13,94.26,91.64
New Zealand,60.23,60.23,74.19,61.11,64.6,68.96,58.49,58.49,92.51,61.11,59.36,67.21,58.49,61.98
Norway,82.04,62.85,78.55,82.91,92.51,78.55,82.91,82.91,70.7,70.7,79.43,78.55,81.17,78.55
Panama,64.6,79.43,92.51,73.32,79.43,89.02,68.09,68.09,85.53,85.53,68.96,73.32,57.62,72.45
Paraguay,67.21,71.57,69.83,57.62,69.83,69.83,59.36,59.36,91.64,68.09,66.34,70.7,74.19,67.21
Portugal,93.38,91.64,89.89,96.0,96.0,93.38,89.02,89.02,61.98,91.64,90.77,96.0,96.0,96.0
Qatar,61.98,57.62,59.36,61.98,56.74,60.23,68.96,68.96,82.04,56.74,82.04,62.85,73.32,68.96
Saudi Arabia,72.45,68.09,61.11,70.7,67.21,61.11,70.7,71.57,81.17,66.34,69.83,64.6,70.7,65.47
Scotland,68.09,77.68,82.91,68.09,75.94,79.43,67.21,67.21,84.66,74.19,72.45,74.19,68.09,75.06
