player_id,player,team,club,primary_position,secondary_positions,preferred_foot,role_archetypes,starter_probability,minutes_projection,availability_status,pace,finishing,passing,chance_creation,progression,dribbling,crossing,pressing,tackling,aerial,recovery,press_resistance,build_up,set_piece_delivery,source,data_quality,updated_at
france_mike_maignan,Mike Maignan,France,Milan,GK,,Right,sweeper_keeper|build_up_keeper,0.90,90,available,70,20,84,55,78,45,30,40,35,72,88,82,86,35,manual_role_prototype,manual_prototype,2026-06-11
france_kylian_mbappe,Kylian Mbappé,France,Real Madrid,LW,CF|RW,Right,direct_transition_winger|inside_forward,0.92,84,available,96,92,82,86,91,94,72,70,38,63,87,89,84,68,manual_role_prototype,manual_prototype,2026-06-11
france_ousmane_dembele,Ousmane Dembélé,France,Paris Saint-Germain,RW,LW|CF,Right,wide_creator|inside_forward,0.82,72,available,92,84,83,88,89,92,80,76,42,55,82,86,82,74,manual_role_prototype,manual_prototype,2026-06-11
france_marcus_thuram,Marcus Thuram,France,Inter Milan,CF,LW,Right,mobile_striker|transition_target,0.72,68,available,89,84,76,75,82,85,66,72,45,82,79,78,74,58,manual_role_prototype,manual_prototype,2026-06-11
france_lucas_digne,Lucas Digne,France,Aston Villa,LB,LWB,Left,overlapping_fullback|set_piece_deliverer,0.64,64,available,76,62,84,82,82,74,88,78,76,69,78,82,84,89,manual_role_prototype,manual_prototype,2026-06-11
france_jules_kounde,Jules Koundé,France,Barcelona,RB,CB,Right,defensive_fullback|build_up_defender,0.88,83,available,83,58,85,72,82,74,70,82,88,81,89,86,87,62,manual_role_prototype,manual_prototype,2026-06-11
france_dayot_upamecano,Dayot Upamecano,France,Bayern Munich,CB,,Right,recovery_centerback|ball_playing_defender,0.80,82,available,86,52,85,62,80,67,48,79,88,86,92,83,86,45,manual_role_prototype,manual_prototype,2026-06-11
france_william_saliba,William Saliba,France,Arsenal,CB,,Right,recovery_centerback|ball_playing_defender,0.88,86,available,85,51,88,64,84,72,50,81,91,88,93,88,90,46,manual_role_prototype,manual_prototype,2026-06-11
france_aurelien_tchouameni,Aurélien Tchouaméni,France,Real Madrid,DM,CM,Right,holding_midfielder|rest_defense_anchor,0.88,84,available,78,69,88,76,86,76,66,86,90,88,91,88,89,72,manual_role_prototype,manual_prototype,2026-06-11
france_adrien_rabiot,Adrien Rabiot,France,Milan,CM,LM,Left,box_to_box_midfielder|wide_support_midfielder,0.76,72,available,78,73,84,79,84,78,72,84,82,83,87,83,85,70,manual_role_prototype,manual_prototype,2026-06-11
france_ngolo_kante,N'Golo Kanté,France,Fenerbahçe,CM,DM,Right,ball_winning_midfielder|counterpress_midfielder,0.70,66,available,78,61,84,72,80,76,58,92,94,68,96,88,83,52,manual_role_prototype,manual_prototype,2026-06-11
brazil_alisson,Alisson,Brazil,Liverpool,GK,,Right,sweeper_keeper|build_up_keeper,0.90,90,available,72,20,86,58,80,48,32,42,36,74,89,84,88,36,manual_role_prototype,manual_prototype,2026-06-11
brazil_vinicius_junior,Vinícius Júnior,Brazil,Real Madrid,LW,CF,Left,direct_transition_winger|inside_forward,0.94,86,available,97,88,82,87,92,96,76,74,35,55,86,90,83,66,manual_role_prototype,manual_prototype,2026-06-11
brazil_raphinha,Raphinha,Brazil,Barcelona,RW,LW,Left,wide_creator|high_press_winger,0.86,78,available,89,86,85,90,88,88,85,86,54,62,84,85,84,82,manual_role_prototype,manual_prototype,2026-06-11
brazil_igor_thiago,Igor Thiago,Brazil,Brentford,CF,,Right,penalty_box_striker|aerial_target,0.58,58,available,78,82,68,65,70,72,55,74,48,88,72,68,66,48,manual_role_prototype,manual_prototype,2026-06-11
brazil_alex_sandro,Alex Sandro,Brazil,Flamengo,LB,LWB,Left,balanced_fullback|overlapping_fullback,0.62,62,available,75,59,82,76,80,72,80,76,79,75,80,81,83,72,manual_role_prototype,manual_prototype,2026-06-11
brazil_wesley,Wesley,Brazil,Roma,RB,RWB,Right,overlapping_fullback|recovery_fullback,0.76,72,available,88,64,80,78,86,84,82,80,79,68,88,78,81,68,manual_role_prototype,manual_prototype,2026-06-11
brazil_marquinhos,Marquinhos,Brazil,Paris Saint-Germain,CB,,Right,ball_playing_defender|rest_defense_anchor,0.88,84,available,80,57,89,68,85,70,52,82,90,85,91,88,91,50,manual_role_prototype,manual_prototype,2026-06-11
brazil_bremer,Bremer,Brazil,Juventus,CB,,Right,duel_centerback|aerial_defender,0.80,78,available,78,55,80,58,75,62,44,80,92,93,88,76,80,42,manual_role_prototype,manual_prototype,2026-06-11
brazil_casemiro,Casemiro,Brazil,Manchester United,DM,CM,Right,holding_midfielder|ball_winning_midfielder,0.70,66,available,68,70,83,72,78,68,58,84,91,91,86,78,82,62,manual_role_prototype,manual_prototype,2026-06-11
brazil_bruno_guimaraes,Bruno Guimarães,Brazil,Newcastle United,CM,DM,Right,progressive_midfielder|press_resistant_midfielder,0.88,83,available,78,74,90,86,91,84,72,88,86,76,91,92,92,78,manual_role_prototype,manual_prototype,2026-06-11
brazil_lucas_paqueta,Lucas Paquetá,Brazil,Flamengo,AM,CM,Left,central_creator|counterpress_midfielder,0.78,74,available,80,78,87,91,88,87,75,88,74,70,86,89,88,80,manual_role_prototype,manual_prototype,2026-06-11
