run_id,source_id,script,started_at,finished_at,status,rows_raw,rows_normalized,rows_failed,error_message
44b29a914e6b48f48fa6fe4dacfc0f31,manual_csv,scripts/ingest_player_stats.py,2026-06-12T03:43:19.644102Z,2026-06-12T03:43:19.661275Z,succeeded,4,4,0,
8660a13ab3dd4578b81585e0b8eb33fe,project_repository,scripts/rebuild_player_role_vectors.py,2026-06-12T03:43:23.752457Z,2026-06-12T03:43:23.766861Z,succeeded,4,4,0,
349aec0b5e374daf82df54a9cfe8cc85,project_repository,scripts/rebuild_player_role_vectors.py,2026-06-12T03:44:05.907077Z,2026-06-12T03:44:05.918753Z,succeeded,4,4,0,
aa97d6e19c3d4b908cee6bb7737fb3d1,manual_csv,scripts/ingest_injury_news.py,2026-06-12T03:50:11.689293Z,2026-06-12T03:50:11.701475Z,partial,5,5,0,
c53b9867d48a4726a74caab68ace913f,manual_csv,scripts/ingest_tactical_articles.py,2026-06-12T03:59:09.010752Z,2026-06-12T03:59:09.016827Z,succeeded,7,7,0,
29ff845144954b459a57bc031aa9f5e8,project_repository,scripts/refine_manager_skills.py,2026-06-12T03:59:13.677767Z,2026-06-12T03:59:13.692214Z,succeeded,7,7,0,
aa0e7542c7d5420d8b25c48217d26bba,manual_csv,scripts/ingest_event_data.py,2026-06-12T04:13:57.822764Z,2026-06-12T04:13:57.842317Z,succeeded,29,29,0,
5ac0667bd3f54b7c9d4a04d32413daad,manual_csv,api.refresh_player_stats,2026-06-12T04:35:25.379822Z,2026-06-12T04:35:25.379822Z,succeeded,4,4,0,
bc3793f73a864d47bda27c679fd71f90,manual_csv,api.refresh_player_stats,2026-06-12T04:35:31.978549Z,2026-06-12T04:35:31.978549Z,succeeded,4,4,0,
0c0a81c58ced42c1b4a914f0cae2edcf,manual_csv,api.refresh_injury_news,2026-06-12T04:35:31.993573Z,2026-06-12T04:35:31.993573Z,succeeded,5,5,0,
41be3411398742168b5aad3b1c92caa5,manual_csv,api.refresh_tactical_evidence,2026-06-12T04:35:32.012193Z,2026-06-12T04:35:32.012193Z,succeeded,7,7,0,
b10e8d647fc74146867325e8fdd2cf36,manual_csv,api.refresh_event_data,2026-06-12T04:35:32.027298Z,2026-06-12T04:35:32.027298Z,succeeded,29,29,0,
9b93a198db9d425aa77acbf7da4a9950,manual_csv,api.refresh_player_stats,2026-06-12T04:40:31.507193Z,2026-06-12T04:40:31.507193Z,succeeded,4,4,0,
62e51eda9d2b4638a3fe80c6668bba64,statsbomb_open_data,scripts/sync_statsbomb_manager_history.py,2026-06-12T12:20:11.652119Z,2026-06-12T12:21:53.915769Z,succeeded,236,236,0,
