provider_event_id,fixture_id,game_date,tournament,team_name,opponent_name,player_name,recipient_name,type_name,half,min,sec,possession,possession_team_name,phase,result,start_x,start_y,target_x,target_y,expected_goals,goal,set_piece,counter_attack,pressured,body_part_name,card,replacement_name,keeper_name,provider,confidence,fetched_at
fra_01,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Aurelien Tchouameni,Adrien Rabiot,Pass,1,3,10,1,France,Open Play,Complete,30,40,50,42,,false,false,false,false,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_02,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,William Saliba,Kylian Mbappe,Progressive Pass,1,7,20,2,France,Open Play,Complete,75,38,105,35,,false,false,false,false,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_03,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Ousmane Dembele,Kylian Mbappe,Key Pass,1,12,5,3,France,Open Play,Complete,90,55,110,42,,false,false,false,false,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_04,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Kylian Mbappe,,Shot,1,12,8,3,France,Open Play,Saved,110,42,,,0.20,false,false,false,true,Right Foot,,,Alisson,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_05,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Kylian Mbappe,,Goal,1,24,30,4,France,Open Play,Goal,108,38,,,0.45,true,false,true,false,Right Foot,,,Alisson,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_06,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Jules Kounde,Marcus Thuram,Cross,1,31,20,5,France,Open Play,Complete,92,70,108,43,,false,false,false,false,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_07,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Adrien Rabiot,,Carry,1,35,10,6,France,Open Play,Complete,70,42,85,44,,false,false,false,true,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_08,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Kylian Mbappe,,Progressive Carry,1,39,15,7,France,Counterattack,Complete,75,25,104,30,,false,false,true,true,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_09,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Ngolo Kante,,Tackle,1,41,2,8,Brazil,Open Play,Won,85,42,,,,false,false,false,true,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_10,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Aurelien Tchouameni,,Interception,1,43,18,8,Brazil,Open Play,Won,82,35,,,,false,false,false,false,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_11,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,William Saliba,,Duel,2,49,10,9,Brazil,Open Play,Won,60,40,,,,false,false,false,true,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_12,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Dayot Upamecano,,Aerial Duel,2,51,22,9,Brazil,Open Play,Won,55,38,,,,false,false,false,false,Head,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_13,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Jules Kounde,,Foul Committed,2,55,4,10,Brazil,Open Play,Committed,84,65,,,,false,false,false,false,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_14,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Jules Kounde,,Card,2,55,10,10,Brazil,Open Play,Booked,84,65,,,,false,false,false,false,,Yellow Card,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_15,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Adrien Rabiot,,Substitution,2,62,0,11,France,Open Play,Complete,,,,,,false,false,false,false,,,Eduardo Camavinga,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_16,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Ousmane Dembele,,Corner,2,68,15,12,France,Corner,Complete,120,0,108,40,,false,true,false,false,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_17,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Antoine Griezmann,,Set Piece,2,69,0,12,France,Free Kick,Complete,86,40,105,40,,false,true,false,false,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_18,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Kylian Mbappe,,Penalty,2,70,30,12,France,Penalty,Goal,108,40,,,0.76,true,true,false,false,Right Foot,,,Alisson,manual_csv,0.82,2026-06-11T22:00:00+00:00
fra_19,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Mike Maignan,,Goalkeeper Save,2,76,22,13,Brazil,Open Play,Saved,112,42,,,0.25,false,false,false,false,,,,Mike Maignan,manual_csv,0.82,2026-06-11T22:00:00+00:00
bra_01,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Bruno Guimaraes,Vinicius Junior,Pass,1,5,5,20,Brazil,Open Play,Complete,28,42,52,,,false,false,false,false,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
bra_02,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Marquinhos,Raphinha,Progressive Pass,1,16,20,21,Brazil,Open Play,Complete,78,45,106,46,,false,false,false,false,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
bra_03,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Vinicius Junior,,Shot,1,28,10,22,Brazil,Open Play,Saved,112,42,,,0.25,false,false,false,true,Right Foot,,,Mike Maignan,manual_csv,0.82,2026-06-11T22:00:00+00:00
bra_04,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Raphinha,,Goal,1,44,0,23,Brazil,Open Play,Goal,109,45,,,0.50,true,false,false,false,Left Foot,,,Mike Maignan,manual_csv,0.82,2026-06-11T22:00:00+00:00
bra_05,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Vinicius Junior,,Carry,2,53,12,24,Brazil,Counterattack,Complete,72,20,103,28,,false,false,true,true,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
bra_06,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Casemiro,,Tackle,2,58,18,25,France,Open Play,Won,88,40,,,,false,false,false,true,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
bra_07,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Bruno Guimaraes,,Interception,2,60,5,25,France,Open Play,Won,81,38,,,,false,false,false,false,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
bra_08,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Raphinha,,Corner,2,73,2,26,Brazil,Corner,Complete,120,80,108,42,,false,true,false,false,,,,,manual_csv,0.82,2026-06-11T22:00:00+00:00
bra_09,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Marquinhos,,Shot,2,73,8,26,Brazil,Corner,Off Target,108,42,,,0.12,false,true,false,false,Head,,,Mike Maignan,manual_csv,0.82,2026-06-11T22:00:00+00:00
bra_10,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Alisson,,Save,2,88,20,27,France,Open Play,Saved,110,38,,,0.20,false,false,false,false,,,,Alisson,manual_csv,0.82,2026-06-11T22:00:00+00:00
