team,corner_xg,free_kick_xg,aerial_threat,delivery_quality,set_piece_concede_risk,source,updated_at
Czechia,0.0896,0.0483,52.59,69.83,22.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Mexico,0.0881,0.0445,51.86,61.98,21.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
South Africa,0.0852,0.0429,50.56,58.49,25.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Korea Republic,0.0868,0.0412,50.23,55.0,22.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Bosnia and Herzegovina,0.0877,0.0424,52.47,57.62,26.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Canada,0.0879,0.0507,52.95,75.06,24.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Qatar,0.0863,0.042,50.31,56.74,26.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Switzerland,0.0895,0.0549,53.84,83.79,18.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Brazil,0.0948,0.0561,60.84,86.4,17.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Haiti,0.084,0.0416,50.65,55.87,28.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Morocco,0.0918,0.0595,56.44,93.38,14.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Scotland,0.089,0.0503,52.7,74.19,22.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Australia,0.0882,0.0491,50.74,71.57,21.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Paraguay,0.0877,0.0474,52.31,68.09,22.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Turkiye,0.0914,0.052,57.02,77.68,22.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
USA,0.0902,0.0553,55.49,84.66,22.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Curacao,0.0839,0.0495,50.32,72.45,28.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Ecuador,0.0899,0.0462,56.21,65.47,21.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Germany,0.0954,0.057,60.86,88.15,17.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Cote d'Ivoire,0.0886,0.0532,54.41,80.3,22.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Japan,0.088,0.0599,53.01,94.26,21.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Netherlands,0.0945,0.0516,60.2,76.81,15.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Sweden,0.0917,0.0449,57.75,62.85,21.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Tunisia,0.0865,0.0499,50.83,73.32,22.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Belgium,0.0918,0.0591,55.18,92.51,18.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Egypt,0.0888,0.0458,52.08,64.6,22.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
IR Iran,0.0869,0.0578,50.38,89.89,20.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
New Zealand,0.0869,0.0441,50.55,61.11,25.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Cabo Verde,0.0853,0.0537,50.86,81.17,26.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Saudi Arabia,0.0858,0.0466,50.56,66.34,26.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Spain,0.0967,0.0524,62.59,78.55,13.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Uruguay,0.0922,0.0545,56.04,82.91,17.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
France,0.0995,0.0437,66.59,60.23,14.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Iraq,0.0856,0.0453,50.18,63.72,25.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Norway,0.091,0.0487,58.98,70.7,24.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Senegal,0.0902,0.0603,55.52,95.13,17.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Algeria,0.089,0.047,53.98,67.21,23.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Argentina,0.0956,0.0574,59.99,89.02,15.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Austria,0.089,0.0528,52.58,79.43,22.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Jordan,0.085,0.0433,50.13,59.36,26.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Colombia,0.0902,0.0541,54.14,82.04,20.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Congo DR,0.0864,0.0478,52.17,68.96,24.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Portugal,0.0955,0.0586,61.2,91.64,16.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Uzbekistan,0.0862,0.0566,51.66,87.28,25.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Croatia,0.091,0.0607,54.53,96.0,16.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
England,0.0986,0.0582,65.71,90.77,14.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Ghana,0.0875,0.0512,53.36,75.94,26.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Panama,0.0863,0.0557,50.37,85.53,25.0,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
