event_id,match_id,competition,season,match_date,team,opponent,player,minute,shot_x,shot_y,distance_m,angle_degrees,body_part,assist_type,defender_pressure,game_state,shot_type,is_goal,source
bootstrap-1,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,8,116,40,4.0,90.0,Right Foot,Cutback,Low,Drawing,Open Play,0,starter_sample
bootstrap-2,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,15,112,37,8.544,48.311,Left Foot,Through Ball,Medium,Trailing,Open Play,1,starter_sample
bootstrap-3,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,22,110,44,10.77,38.66,Right Foot,Cross,High,Drawing,Open Play,0,starter_sample
bootstrap-4,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,29,108,40,12.0,36.87,Right Foot,Through Ball,Medium,Drawing,Open Play,1,starter_sample
bootstrap-5,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,36,105,34,16.155,26.095,Head,Cross,High,Leading,Open Play,0,starter_sample
bootstrap-6,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,43,100,50,22.361,18.293,Left Foot,Dribble,Medium,Drawing,Open Play,0,starter_sample
bootstrap-7,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,50,95,40,25.0,18.181,Right Foot,Layoff,Low,Trailing,Open Play,0,starter_sample
bootstrap-8,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,57,118,41,2.236,124.509,Right Foot,Rebound,Medium,Drawing,Open Play,1,starter_sample
bootstrap-9,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,64,108,31,15.0,24.671,Head,Corner,High,Trailing,Set Piece,0,starter_sample
bootstrap-10,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,71,90,25,33.541,12.211,Right Foot,Open Play,Low,Leading,Open Play,0,starter_sample
bootstrap-11,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,78,113,48,10.63,29.999,Left Foot,Through Ball,Medium,Drawing,Open Play,0,starter_sample
bootstrap-12,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,85,104,42,16.125,27.681,Other,Loose Ball,High,Trailing,Open Play,0,starter_sample
bootstrap-13,bootstrap-0,starter sample,2026,2026-06-04,France,England,Kylian Mbappe,92,111,40,9.0,47.925,Right Foot,Penalty Area Pass,Low,Leading,Open Play,1,starter_sample
bootstrap-14,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,9,116,40,4.0,90.0,Right Foot,Cutback,Low,Drawing,Open Play,1,starter_sample
bootstrap-15,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,16,112,37,8.544,48.311,Left Foot,Through Ball,Medium,Trailing,Open Play,1,starter_sample
bootstrap-16,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,23,110,44,10.77,38.66,Right Foot,Cross,High,Drawing,Open Play,0,starter_sample
bootstrap-17,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,30,108,40,12.0,36.87,Right Foot,Through Ball,Medium,Drawing,Open Play,1,starter_sample
bootstrap-18,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,37,105,34,16.155,26.095,Head,Cross,High,Leading,Open Play,0,starter_sample
bootstrap-19,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,44,100,50,22.361,18.293,Left Foot,Dribble,Medium,Drawing,Open Play,0,starter_sample
bootstrap-20,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,51,95,40,25.0,18.181,Right Foot,Layoff,Low,Trailing,Open Play,0,starter_sample
bootstrap-21,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,58,118,41,2.236,124.509,Right Foot,Rebound,Medium,Drawing,Open Play,1,starter_sample
bootstrap-22,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,65,108,31,15.0,24.671,Head,Corner,High,Trailing,Set Piece,0,starter_sample
bootstrap-23,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,72,90,25,33.541,12.211,Right Foot,Open Play,Low,Leading,Open Play,0,starter_sample
bootstrap-24,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,79,113,48,10.63,29.999,Left Foot,Through Ball,Medium,Drawing,Open Play,1,starter_sample
bootstrap-25,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,86,104,42,16.125,27.681,Other,Loose Ball,High,Trailing,Open Play,0,starter_sample
bootstrap-26,bootstrap-1,starter sample,2026,2026-06-04,Brazil,Spain,Vinicius Junior,93,111,40,9.0,47.925,Right Foot,Penalty Area Pass,Low,Leading,Open Play,1,starter_sample
bootstrap-27,bootstrap-2,starter sample,2026,2026-06-04,Argentina,Portugal,Lionel Messi,10,116,40,4.0,90.0,Right Foot,Cutback,Low,Drawing,Open Play,1,starter_sample
