team,roster_value_score,projected_xi_score,bench_value_score,squad_experience,squad_balance,squad_availability,formation_fit,lineup_continuity,lineup_confidence,observed_lineups_count
Czechia,72.45,73.32,75.06,62.85,96.0,100.0,74.3,70.0,0.0,0
Mexico,74.19,68.09,78.55,93.38,94.72,100.0,74.51,70.0,0.0,0
South Africa,62.85,62.85,66.34,55.0,93.07,100.0,74.82,70.0,0.0,0
Korea Republic,55.87,56.74,55.0,83.79,91.9,100.0,87.5,70.0,0.0,0
Bosnia and Herzegovina,69.83,71.57,68.96,58.49,96.0,100.0,74.21,70.0,0.0,0
Canada,73.32,75.06,72.45,84.66,96.0,100.0,76.25,70.0,0.0,0
Qatar,56.74,57.62,56.74,95.13,93.07,100.0,79.15,70.0,0.0,0
Switzerland,79.43,77.68,82.91,89.89,96.0,100.0,74.76,70.0,0.0,0
Brazil,91.64,91.64,90.77,79.43,93.07,100.0,76.36,70.0,0.0,0
Haiti,65.47,63.72,67.21,60.23,94.54,100.0,74.92,70.0,0.0,0
Morocco,85.53,86.4,86.4,68.09,96.0,100.0,76.22,70.0,0.0,0
Scotland,71.57,74.19,69.83,82.91,94.54,100.0,75.01,70.0,0.0,0
Australia,66.34,64.6,68.09,64.6,93.07,100.0,74.67,70.0,0.0,0
Paraguay,70.7,70.7,71.57,61.11,96.0,100.0,75.05,70.0,0.0,0
Turkiye,84.66,87.28,83.79,82.04,93.07,100.0,74.18,70.0,0.0,0
USA,82.04,82.91,81.17,81.17,94.54,100.0,75.55,70.0,0.0,0
Curacao,59.36,58.49,62.85,59.36,96.0,100.0,74.16,70.0,0.0,0
Ecuador,81.17,85.53,76.81,66.34,96.0,100.0,74.53,70.0,0.0,0
Germany,92.51,92.51,92.51,75.06,93.95,100.0,74.72,70.0,0.0,0
Cote d'Ivoire,87.28,80.3,89.02,61.98,94.54,100.0,73.9,70.0,0.0,0
Japan,77.68,75.94,82.04,76.81,93.95,100.0,74.16,70.0,0.0,0
Netherlands,90.77,90.77,91.64,75.94,96.0,100.0,74.41,70.0,0.0,0
Sweden,83.79,88.15,73.32,55.87,96.0,100.0,74.62,70.0,0.0,0
Tunisia,64.6,65.47,64.6,57.62,96.0,100.0,76.63,70.0,0.0,0
Belgium,88.15,82.04,88.15,89.02,96.0,100.0,74.53,70.0,0.0,0
Egypt,68.09,68.96,65.47,73.32,96.0,100.0,77.79,70.0,0.0,0
IR Iran,58.49,60.23,58.49,92.51,96.0,100.0,80.84,70.0,0.0,0
New Zealand,61.11,61.11,59.36,74.19,93.95,100.0,74.3,70.0,0.0,0
Cabo Verde,63.72,66.34,61.11,70.7,91.9,100.0,75.89,70.0,0.0,0
Saudi Arabia,61.98,61.98,60.23,77.68,94.54,100.0,76.04,70.0,0.0,0
Spain,94.26,94.26,94.26,63.72,96.0,100.0,74.46,70.0,0.0,0
Uruguay,80.3,84.66,77.68,80.3,94.72,100.0,75.2,70.0,0.0,0
France,96.0,96.0,96.0,67.21,96.0,100.0,73.93,70.0,0.0,0
Iraq,57.62,55.87,63.72,71.57,96.0,100.0,76.44,70.0,0.0,0
Norway,89.02,89.02,85.53,69.83,96.0,100.0,75.67,70.0,0.0,0
Senegal,86.4,83.79,87.28,85.53,96.0,100.0,74.49,70.0,0.0,0
Algeria,76.81,78.55,74.19,65.47,96.0,100.0,76.11,70.0,0.0,0
Argentina,89.89,89.89,89.89,94.26,96.0,100.0,74.99,70.0,0.0,0
Austria,75.06,72.45,80.3,87.28,93.95,100.0,75.28,70.0,0.0,0
Jordan,55.0,55.0,55.87,88.15,96.0,100.0,81.36,70.0,0.0,0
Colombia,78.55,79.43,79.43,86.4,96.0,100.0,74.45,70.0,0.0,0
Congo DR,68.96,69.83,70.7,68.96,96.0,100.0,75.2,70.0,0.0,0
Portugal,93.38,93.38,93.38,90.77,94.54,100.0,74.51,70.0,0.0,0
Uzbekistan,67.21,67.21,57.62,78.55,91.9,100.0,78.71,70.0,0.0,0
Croatia,82.91,81.17,84.66,91.64,96.0,100.0,74.77,70.0,0.0,0
England,95.13,95.13,95.13,72.45,96.0,100.0,74.56,70.0,0.0,0
Ghana,75.94,76.81,75.94,56.74,94.54,100.0,74.93,70.0,0.0,0
Panama,60.23,59.36,61.98,96.0,93.95,100.0,74.64,70.0,0.0,0
