team,formation,pressing,build_up,transition,defensive_line,width,source,updated_at
Czechia,3-4-3,74.19,68.95,78.0,76.4,73.37,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Mexico,4-3-3,80.3,78.99,81.0,84.15,78.56,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
South Africa,4-3-3,55.87,56.74,79.0,70.22,84.53,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Korea Republic,4-4-2,55.0,55.0,84.0,72.55,61.9,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Bosnia and Herzegovina,4-3-3,59.36,59.8,76.0,69.79,71.17,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Canada,4-3-3,81.17,83.79,88.0,83.28,80.91,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Qatar,4-3-3,56.74,60.67,78.0,70.48,75.41,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Switzerland,3-4-3,88.15,88.59,79.0,82.89,80.28,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Brazil,3-4-3,77.68,81.61,91.0,78.96,87.35,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Haiti,4-3-3,61.11,58.05,78.0,69.22,79.66,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Morocco,3-4-3,85.53,86.84,85.0,83.58,90.81,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Scotland,4-4-2,75.94,75.5,77.0,81.1,78.55,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Australia,4-3-3,60.23,63.29,78.0,75.18,82.48,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Paraguay,3-4-3,69.83,63.72,78.0,75.14,73.06,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Turkiye,4-3-3,78.55,80.3,84.0,83.2,87.98,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
USA,3-4-3,90.77,84.66,84.0,83.01,80.44,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
Curacao,4-3-3,57.62,60.23,76.0,67.96,89.24,derived-player-team-profile,2026-06-05T19:40:23.502261+00:00
