team,set_piece_attack,set_piece_defense,penalty_strength,discipline,tactical_flexibility,injury_resilience,pressing_intensity,transition_speed,big_match_composure
France,88,86,88,80,89,88,86,91,91
Spain,86,87,84,83,92,89,90,86,90
Argentina,86,85,89,79,88,87,84,88,92
England,87,86,90,78,86,88,84,86,86
Portugal,85,84,89,78,85,87,83,88,86
Brazil,84,83,86,77,85,86,82,91,87
Netherlands,84,85,84,80,86,86,85,86,86
Morocco,82,86,82,84,84,88,83,85,87
Belgium,83,82,84,78,82,84,79,83,84
Germany,85,83,84,77,84,85,86,84,85
Croatia,82,84,85,82,87,86,78,80,89
Colombia,81,80,82,77,81,84,80,86,82
Senegal,80,83,82,81,80,86,82,87,81
Mexico,79,79,81,78,79,85,82,81,80
USA,80,78,80,77,79,86,84,84,78
Uruguay,83,83,85,75,82,85,84,83,86
Japan,78,79,79,86,84,88,87,86,80
Switzerland,80,82,80,83,82,85,81,79,82
IR Iran,78,80,81,80,78,85,77,78,79
Turkiye,81,78,82,75,79,84,81,84,78
Ecuador,79,79,80,77,78,86,83,85,78
Austria,80,78,80,82,82,86,86,81,79
Korea Republic,78,78,80,84,79,86,82,84,79
Australia,80,79,78,81,77,86,79,78,78
Algeria,79,77,80,77,78,84,78,83,78
Egypt,80,78,82,76,77,84,77,82,78
Canada,78,76,79,77,77,87,83,88,76
Norway,79,76,84,82,76,84,78,80,76
Panama,77,75,78,76,75,85,77,78,75
Cote d'Ivoire,78,78,80,76,77,85,80,84,77
Sweden,81,79,82,82,79,85,80,80,81
Paraguay,78,78,79,73,76,84,78,78,78
Czechia,81,78,80,80,78,84,79,78,79
Scotland,80,78,78,78,77,84,82,77,78
Tunisia,77,78,78,79,75,84,77,77,76
Congo DR,76,76,78,76,75,84,78,84,75
Uzbekistan,76,75,77,82,75,85,77,78,75
Qatar,77,74,78,79,76,84,76,78,76
Iraq,76,75,79,78,74,84,76,78,75
South Africa,75,75,78,80,75,85,77,79,75
Saudi Arabia,76,74,79,76,74,84,77,80,75
Jordan,75,74,78,79,74,84,76,79,75
Bosnia and Herzegovina,78,74,80,76,75,82,74,76,77
Cabo Verde,75,74,77,80,74,84,76,79,75
Ghana,77,74,79,74,74,83,77,82,75
Curacao,73,72,76,77,72,84,74,76,73
Haiti,73,72,76,74,72,84,75,78,73
New Zealand,78,75,78,82,74,85,76,76,76
