team,attack,midfield,defense,goalkeeper,bench,recent_form,fitness,chemistry,manager
France,93,91,90,88,92,88,88,86,90
Spain,91,94,88,87,90,91,89,90,89
Argentina,92,89,87,86,88,90,87,91,90
England,91,88,87,86,90,86,88,84,86
Portugal,90,88,86,85,88,85,87,84,85
Brazil,92,88,86,85,89,84,86,82,84
Netherlands,88,87,87,85,86,84,87,84,86
Morocco,84,83,86,84,80,86,88,89,87
Belgium,86,86,83,84,83,82,86,81,83
Germany,88,87,84,85,88,83,86,82,84
Croatia,84,87,83,83,80,82,86,86,86
Colombia,84,83,82,81,80,84,87,83,82
Senegal,82,81,83,82,78,82,88,82,81
Mexico,81,80,80,80,78,79,88,83,80
USA,82,80,79,80,79,78,89,79,79
Uruguay,84,82,82,81,78,80,87,84,82
Japan,81,82,79,79,77,82,89,86,82
Switzerland,80,81,81,81,77,78,87,83,82
IR Iran,78,78,79,78,74,77,87,82,78
Turkiye,80,80,78,78,76,79,87,79,78
Ecuador,80,79,79,78,76,79,88,78,78
Austria,80,81,78,78,77,80,88,82,80
Korea Republic,79,79,78,78,75,78,88,82,78
Australia,77,77,77,77,74,76,88,81,77
Algeria,79,78,77,77,75,78,87,79,77
Egypt,79,78,77,77,74,77,87,78,77
Canada,78,77,76,76,74,76,89,77,76
Norway,80,78,76,76,75,77,87,75,76
Panama,75,75,75,75,72,75,88,78,75
Cote d'Ivoire,78,77,77,76,75,77,87,78,76
Sweden,78,78,77,77,76,75,87,80,78
Paraguay,76,76,76,76,73,75,87,78,76
Czechia,77,78,76,76,74,75,87,79,77
Scotland,76,77,76,76,73,75,87,80,76
Tunisia,75,75,76,75,72,74,87,79,75
Congo DR,76,75,75,75,72,74,87,76,74
Uzbekistan,74,74,74,74,71,75,88,78,74
Qatar,74,74,73,74,71,74,87,80,74
Iraq,73,73,73,73,70,74,88,79,73
South Africa,73,73,73,73,70,73,88,78,73
Saudi Arabia,73,73,73,73,71,73,87,78,73
Jordan,72,72,72,72,69,73,88,78,72
Bosnia and Herzegovina,73,74,72,73,70,72,86,76,73
Cabo Verde,72,72,72,72,69,73,88,77,72
Ghana,74,73,72,72,71,72,87,76,72
Curacao,70,70,70,70,68,72,88,77,70
Haiti,70,70,69,69,68,71,88,76,70
New Zealand,70,70,70,70,68,71,88,78,70
