team,confederation,rank,host,world_cup_pedigree
France,UEFA,1,0,5
Spain,UEFA,2,0,5
Argentina,CONMEBOL,3,0,5
England,UEFA,4,0,5
Portugal,UEFA,5,0,4
Brazil,CONMEBOL,6,0,5
Netherlands,UEFA,7,0,5
Morocco,CAF,8,0,4
Belgium,UEFA,9,0,4
Germany,UEFA,10,0,5
Croatia,UEFA,11,0,5
Colombia,CONMEBOL,13,0,4
Senegal,CAF,14,0,3
Mexico,CONCACAF,15,1,4
USA,CONCACAF,16,1,3
Uruguay,CONMEBOL,17,0,5
Japan,AFC,18,0,3
Switzerland,UEFA,19,0,4
IR Iran,AFC,21,0,2
Turkiye,UEFA,22,0,3
Ecuador,CONMEBOL,23,0,3
Austria,UEFA,24,0,3
Korea Republic,AFC,25,0,3
Australia,AFC,27,0,3
Algeria,CAF,28,0,3
Egypt,CAF,29,0,3
Canada,CONCACAF,30,1,2
Norway,UEFA,31,0,2
Panama,CONCACAF,33,0,2
Cote d'Ivoire,CAF,34,0,3
Sweden,UEFA,38,0,4
Paraguay,CONMEBOL,40,0,3
Czechia,UEFA,41,0,4
Scotland,UEFA,43,0,2
Tunisia,CAF,44,0,2
Congo DR,CAF,46,0,2
Uzbekistan,AFC,50,0,1
Qatar,AFC,55,0,2
Iraq,AFC,57,0,2
South Africa,CAF,60,0,2
Saudi Arabia,AFC,61,0,2
Jordan,AFC,63,0,1
Bosnia and Herzegovina,UEFA,65,0,2
Cabo Verde,CAF,69,0,1
Ghana,CAF,74,0,3
Curacao,CONCACAF,82,0,1
Haiti,CONCACAF,83,0,1
New Zealand,OFC,85,0,2
