venue,city,country,latitude,longitude,altitude_m
Atlanta,Atlanta,USA,33.7554,-84.4008,320
Boston,Foxborough,USA,42.0909,-71.2643,88
Dallas,Arlington,USA,32.7473,-97.0945,184
Guadalajara,Guadalajara,Mexico,20.6819,-103.4628,1566
Houston,Houston,USA,29.6847,-95.4107,13
Kansas City,Kansas City,USA,39.0489,-94.4839,265
Los Angeles,Inglewood,USA,33.9535,-118.3392,38
Mexico City,Mexico City,Mexico,19.3029,-99.1505,2240
Miami,Miami Gardens,USA,25.9580,-80.2389,2
Monterrey,Guadalupe,Mexico,25.6681,-100.2446,512
New York New Jersey,East Rutherford,USA,40.8135,-74.0745,2
Philadelphia,Philadelphia,USA,39.9008,-75.1675,12
San Francisco Bay Area,Santa Clara,USA,37.4030,-121.9700,21
Seattle,Seattle,USA,47.5952,-122.3316,52
Toronto,Toronto,Canada,43.6332,-79.4186,77
Vancouver,Vancouver,Canada,49.2767,-123.1119,15
